config,effective_properties,environment,fps,logical_cpus,mean_ms,median_ms,min_ms,model,openvino,p90_ms,platform,process_cpu_per_wall,python
default,"{""ENABLE_CPU_PINNING"": ""False"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""12"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",Windows,19.187,48,52.106,50.245,47.816,resnet50-v1-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,57.013,Windows-11-10.0.26100-SP0,11.782,3.12.11
latency,"{""ENABLE_CPU_PINNING"": ""False"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""12"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",Windows,19.43,48,51.454,50.547,47.214,resnet50-v1-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,55.402,Windows-11-10.0.26100-SP0,11.779,3.12.11
pin_on,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""12"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",Windows,18.621,48,53.692,53.709,47.447,resnet50-v1-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,60.974,Windows-11-10.0.26100-SP0,11.716,3.12.11
pin_on_24t,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""24"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",Windows,25.248,48,39.597,39.23,38.093,resnet50-v1-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,41.377,Windows-11-10.0.26100-SP0,23.091,3.12.11
pin_on_12t,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""12"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",Windows,17.309,48,57.76,58.677,50.848,resnet50-v1-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,62.924,Windows-11-10.0.26100-SP0,11.693,3.12.11
pin_off_24t,"{""ENABLE_CPU_PINNING"": ""False"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""24"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",Windows,25.459,48,39.268,38.808,37.541,resnet50-v1-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,40.92,Windows-11-10.0.26100-SP0,23.55,3.12.11
default,"{""ENABLE_CPU_PINNING"": ""False"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""12"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",Windows,160.226,48,6.232,6.214,5.586,mobilenetv2-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,6.663,Windows-11-10.0.26100-SP0,11.933,3.12.11
latency,"{""ENABLE_CPU_PINNING"": ""False"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""12"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",Windows,162.651,48,6.141,6.107,5.383,mobilenetv2-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,6.62,Windows-11-10.0.26100-SP0,12.199,3.12.11
pin_on,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""12"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",Windows,156.2,48,6.393,6.24,5.244,mobilenetv2-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,7.107,Windows-11-10.0.26100-SP0,11.634,3.12.11
pin_on_24t,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""24"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",Windows,186.217,48,5.364,5.208,4.387,mobilenetv2-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,6.208,Windows-11-10.0.26100-SP0,24.635,3.12.11
pin_on_12t,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""12"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",Windows,163.288,48,6.117,6.049,5.162,mobilenetv2-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,6.763,Windows-11-10.0.26100-SP0,12.247,3.12.11
pin_off_24t,"{""ENABLE_CPU_PINNING"": ""False"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""24"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",Windows,182.524,48,5.47,5.383,4.875,mobilenetv2-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,6.26,Windows-11-10.0.26100-SP0,22.435,3.12.11
