config,effective_properties,environment,fps,logical_cpus,mean_ms,median_ms,min_ms,model,openvino,p90_ms,platform,process_cpu_per_wall,python
default,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""24"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",WSL2,24.811,48,40.293,39.391,38.003,resnet50-v1-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,42.571,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,23.512,3.12.3
latency,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""24"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",WSL2,25.36,48,39.422,39.133,38.24,resnet50-v1-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,40.435,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,23.494,3.12.3
pin_on,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""24"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",WSL2,24.965,48,40.044,38.783,37.962,resnet50-v1-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,40.658,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,22.916,3.12.3
pin_on_24t,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""24"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",WSL2,24.63,48,40.589,39.75,38.091,resnet50-v1-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,40.852,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,22.881,3.12.3
pin_on_12t,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""12"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",WSL2,14.378,48,69.542,69.795,49.381,resnet50-v1-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,70.981,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,11.506,3.12.3
pin_off_24t,"{""ENABLE_CPU_PINNING"": ""False"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""24"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",WSL2,25.318,48,39.485,38.898,37.884,resnet50-v1-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,41.787,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,23.447,3.12.3
default,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""24"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",WSL2,199.15,48,5.015,5.045,4.527,mobilenetv2-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,5.299,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,23.442,3.12.3
latency,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""24"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",WSL2,171.957,48,5.808,5.831,5.443,mobilenetv2-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,5.997,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,23.443,3.12.3
pin_on,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""24"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",WSL2,193.978,48,5.149,5.117,4.588,mobilenetv2-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,5.616,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,23.442,3.12.3
pin_on_24t,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""24"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",WSL2,185.195,48,5.393,5.306,4.926,mobilenetv2-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,5.901,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,23.442,3.12.3
